8/4/20,2:30PM,29.117kWh,4.378kWh/kW,"4,380W","4,380W",0.659kW/kW,-,-,-,-,
8/4/20,2:25PM,28.752kWh,4.324kWh/kW,"4,380W","4,380W",0.659kW/kW,-,-,-,-,
8/4/20,2:20PM,28.387kWh,4.269kWh/kW,"4,512W","4,512W",0.678kW/kW,-,-,-,-,
8/4/20,2:15PM,28.011kWh,4.212kWh/kW,"4,500W","4,500W",0.677kW/kW,-,-,-,-,
8/4/20,2:10PM,27.636kWh,4.156kWh/kW,"4,620W","4,620W",0.695kW/kW,-,-,-,-,
8/4/20,2:05PM,27.251kWh,4.098kWh/kW,"4,608W","4,608W",0.693kW/kW,-,-,-,-,
8/4/20,2:00PM,26.867kWh,4.040kWh/kW,"4,728W","4,728W",0.711kW/kW,-,-,-,-,
8/4/20,1:55PM,26.473kWh,3.981kWh/kW,"4,800W","4,800W",0.722kW/kW,-,-,-,-,
8/4/20,1:50PM,26.073kWh,3.921kWh/kW,"4,764W","4,764W",0.716kW/kW,-,-,-,-,
8/4/20,1:45PM,25.676kWh,3.861kWh/kW,"4,908W","4,908W",0.738kW/kW,-,-,-,-,
8/4/20,1:40PM,25.267kWh,3.800kWh/kW,"4,872W","4,872W",0.733kW/kW,-,-,-,-,
8/4/20,1:35PM,24.861kWh,3.738kWh/kW,"5,028W","5,028W",0.756kW/kW,-,-,-,-,
8/4/20,1:30PM,24.442kWh,3.675kWh/kW,"4,968W","4,968W",0.747kW/kW,-,-,-,-,
8/4/20,1:25PM,24.028kWh,3.613kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,1:20PM,23.605kWh,3.550kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,1:15PM,23.189kWh,3.487kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,1:10PM,22.767kWh,3.424kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,1:05PM,22.351kWh,3.361kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,1:00PM,21.928kWh,3.297kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,12:55PM,21.505kWh,3.234kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,12:50PM,21.089kWh,3.171kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,12:45PM,20.667kWh,3.108kWh/kW,"4,980W","4,980W",0.749kW/kW,-,-,-,-,
8/4/20,12:40PM,20.252kWh,3.045kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,12:35PM,19.829kWh,2.982kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,12:30PM,19.413kWh,2.919kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,12:25PM,18.990kWh,2.856kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,12:20PM,18.574kWh,2.793kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,12:15PM,18.151kWh,2.729kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,12:10PM,17.735kWh,2.667kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,12:05PM,17.313kWh,2.603kWh/kW,"4,980W","4,980W",0.749kW/kW,-,-,-,-,
8/4/20,12:00PM,16.898kWh,2.541kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,11:55AM,16.476kWh,2.478kWh/kW,"4,980W","4,980W",0.749kW/kW,-,-,-,-,
8/4/20,11:50AM,16.061kWh,2.415kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,11:45AM,15.639kWh,2.352kWh/kW,"4,992W","4,992W",0.751kW/kW,-,-,-,-,
8/4/20,11:40AM,15.223kWh,2.289kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,11:35AM,14.800kWh,2.226kWh/kW,"4,980W","4,980W",0.749kW/kW,-,-,-,-,
8/4/20,11:30AM,14.385kWh,2.163kWh/kW,"5,076W","5,076W",0.763kW/kW,-,-,-,-,
8/4/20,11:25AM,13.962kWh,2.100kWh/kW,"4,980W","4,980W",0.749kW/kW,-,-,-,-,
8/4/20,11:20AM,13.547kWh,2.037kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,11:15AM,13.125kWh,1.974kWh/kW,"4,968W","4,968W",0.747kW/kW,-,-,-,-,
8/4/20,11:10AM,12.711kWh,1.911kWh/kW,"5,064W","5,064W",0.762kW/kW,-,-,-,-,
8/4/20,11:05AM,12.289kWh,1.848kWh/kW,"4,968W","4,968W",0.747kW/kW,-,-,-,-,
8/4/20,11:00AM,11.875kWh,1.786kWh/kW,"5,016W","5,016W",0.754kW/kW,-,-,-,-,
8/4/20,10:55AM,11.457kWh,1.723kWh/kW,"4,872W","4,872W",0.733kW/kW,-,-,-,-,
8/4/20,10:50AM,11.051kWh,1.662kWh/kW,"4,944W","4,944W",0.743kW/kW,-,-,-,-,
8/4/20,10:45AM,10.639kWh,1.600kWh/kW,"4,884W","4,884W",0.734kW/kW,-,-,-,-,
8/4/20,10:40AM,10.232kWh,1.539kWh/kW,"4,776W","4,776W",0.718kW/kW,-,-,-,-,
8/4/20,10:35AM,9.834kWh,1.479kWh/kW,"4,776W","4,776W",0.718kW/kW,-,-,-,-,
8/4/20,10:30AM,9.436kWh,1.419kWh/kW,"4,656W","4,656W",0.700kW/kW,-,-,-,-,
8/4/20,10:25AM,9.048kWh,1.361kWh/kW,"4,680W","4,680W",0.704kW/kW,-,-,-,-,
8/4/20,10:20AM,8.658kWh,1.302kWh/kW,"4,560W","4,560W",0.686kW/kW,-,-,-,-,
8/4/20,10:15AM,8.278kWh,1.245kWh/kW,"4,560W","4,560W",0.686kW/kW,-,-,-,-,
8/4/20,10:10AM,7.898kWh,1.188kWh/kW,"4,416W","4,416W",0.664kW/kW,-,-,-,-,
8/4/20,10:05AM,7.530kWh,1.132kWh/kW,"4,404W","4,404W",0.662kW/kW,-,-,-,-,
8/4/20,10:00AM,7.163kWh,1.077kWh/kW,"4,272W","4,272W",0.642kW/kW,-,-,-,-,
8/4/20,9:55AM,6.807kWh,1.024kWh/kW,"4,248W","4,248W",0.639kW/kW,-,-,-,-,
8/4/20,9:50AM,6.453kWh,0.970kWh/kW,"4,104W","4,104W",0.617kW/kW,-,-,-,-,
8/4/20,9:45AM,6.111kWh,0.919kWh/kW,"4,080W","4,080W",0.614kW/kW,-,-,-,-,
8/4/20,9:40AM,5.771kWh,0.868kWh/kW,"3,924W","3,924W",0.590kW/kW,-,-,-,-,
8/4/20,9:35AM,5.444kWh,0.819kWh/kW,"3,888W","3,888W",0.585kW/kW,-,-,-,-,
8/4/20,9:30AM,5.120kWh,0.770kWh/kW,"3,744W","3,744W",0.563kW/kW,-,-,-,-,
8/4/20,9:25AM,4.808kWh,0.723kWh/kW,"3,708W","3,708W",0.558kW/kW,-,-,-,-,
8/4/20,9:20AM,4.499kWh,0.677kWh/kW,"3,540W","3,540W",0.532kW/kW,-,-,-,-,
8/4/20,9:15AM,4.204kWh,0.632kWh/kW,"3,492W","3,492W",0.525kW/kW,-,-,-,-,
8/4/20,9:10AM,3.913kWh,0.588kWh/kW,"3,324W","3,324W",0.500kW/kW,-,-,-,-,
8/4/20,9:05AM,3.636kWh,0.547kWh/kW,"3,276W","3,276W",0.493kW/kW,-,-,-,-,
8/4/20,9:00AM,3.363kWh,0.506kWh/kW,"3,120W","3,120W",0.469kW/kW,-,-,-,-,
8/4/20,8:55AM,3.103kWh,0.467kWh/kW,"3,072W","3,072W",0.462kW/kW,-,-,-,-,
8/4/20,8:50AM,2.847kWh,0.428kWh/kW,"2,892W","2,892W",0.435kW/kW,-,-,-,-,
8/4/20,8:45AM,2.606kWh,0.392kWh/kW,"2,844W","2,844W",0.428kW/kW,-,-,-,-,
8/4/20,8:40AM,2.369kWh,0.356kWh/kW,"2,664W","2,664W",0.401kW/kW,-,-,-,-,
8/4/20,8:35AM,2.147kWh,0.323kWh/kW,"2,592W","2,592W",0.390kW/kW,-,-,-,-,
8/4/20,8:30AM,1.931kWh,0.290kWh/kW,"2,472W","2,472W",0.372kW/kW,-,-,-,-,
8/4/20,8:25AM,1.725kWh,0.259kWh/kW,"2,316W","2,316W",0.348kW/kW,-,-,-,-,
8/4/20,8:20AM,1.532kWh,0.230kWh/kW,"2,232W","2,232W",0.336kW/kW,-,-,-,-,
8/4/20,8:15AM,1.346kWh,0.202kWh/kW,"2,100W","2,100W",0.316kW/kW,-,-,-,-,
8/4/20,8:10AM,1.171kWh,0.176kWh/kW,"1,920W","1,920W",0.289kW/kW,-,-,-,-,
8/4/20,8:05AM,1.011kWh,0.152kWh/kW,"1,776W","1,776W",0.267kW/kW,-,-,-,-,
8/4/20,8:00AM,0.863kWh,0.130kWh/kW,648W,648W,0.097kW/kW,-,-,-,-,
8/4/20,7:55AM,0.809kWh,0.122kWh/kW,804W,804W,0.121kW/kW,-,-,-,-,
8/4/20,7:50AM,0.742kWh,0.112kWh/kW,"1,608W","1,608W",0.242kW/kW,-,-,-,-,
8/4/20,7:45AM,0.608kWh,0.091kWh/kW,"1,500W","1,500W",0.226kW/kW,-,-,-,-,
8/4/20,7:40AM,0.483kWh,0.073kWh/kW,"1,476W","1,476W",0.222kW/kW,-,-,-,-,
8/4/20,7:35AM,0.360kWh,0.054kWh/kW,"1,404W","1,404W",0.211kW/kW,-,-,-,-,
8/4/20,7:30AM,0.243kWh,0.037kWh/kW,"1,332W","1,332W",0.200kW/kW,-,-,-,-,
8/4/20,7:25AM,0.132kWh,0.020kWh/kW,516W,516W,0.078kW/kW,-,-,-,-,
8/4/20,7:20AM,0.089kWh,0.013kWh/kW,240W,240W,0.036kW/kW,-,-,-,-,
8/4/20,7:15AM,0.069kWh,0.010kWh/kW,180W,180W,0.027kW/kW,-,-,-,-,
8/4/20,7:10AM,0.054kWh,0.008kWh/kW,180W,180W,0.027kW/kW,-,-,-,-,
8/4/20,7:05AM,0.039kWh,0.006kWh/kW,156W,156W,0.023kW/kW,-,-,-,-,
8/4/20,7:00AM,0.026kWh,0.004kWh/kW,144W,144W,0.022kW/kW,-,-,-,-,
8/4/20,6:55AM,0.014kWh,0.002kWh/kW,96W,96W,0.014kW/kW,-,-,-,-,
8/4/20,6:50AM,0.006kWh,0.001kWh/kW,72W,-,-,-,-,-,-,
